# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
46,Franz Wagner,ORL,"PF,SF",,,72,33.3,22.2,1.5,5.6,4.2,1.2,0.4,0.472,0.85,2.0
47,Rudy Gobert,MIN,C,,,75,32.0,11.4,0.0,11.4,1.7,0.8,1.6,0.666,0.59,1.3
48,Austin Reaves,LAL,"PG,SF,SG",,,73,35.7,21.7,2.4,4.7,5.5,1.1,0.4,0.472,0.871,2.9
49,Devin Booker,PHO,"PG,SG",,,75,35.8,25.6,2.1,4.1,6.5,1.0,0.3,0.459,0.882,2.9
50,Caleb Wilson,CHI,"PF,SF",,,74,32.4,16.3,0.9,8.3,2.1,1.0,1.5,0.51,0.746,1.9
51,Mikal Bridges,NYK,"PF,SF,SG",,,80,34.7,15.2,1.9,3.7,3.6,1.2,0.7,0.494,0.827,1.3
52,Tyler Herro,MIL,"PG,SG",,,72,34.3,21.7,2.9,4.7,4.6,0.8,0.2,0.474,0.897,2.3
53,Jalen Brunson,NYK,PG,,,75,35.5,26.3,2.5,3.3,6.8,0.9,0.1,0.473,0.834,2.5
54,Alperen Sengun,HOU,"C,PF",,,75,32.7,19.3,0.4,9.4,5.5,1.2,1.0,0.512,0.691,2.9
55,Michael Porter Jr.,BKN,"SF,PF",OUT,,73,33.1,20.7,3.1,6.4,2.5,0.9,0.4,0.455,0.835,2.0
56,Onyeka Okongwu,ATL,C,,,75,30.1,14.0,1.5,7.5,2.8,1.0,1.0,0.506,0.759,1.5
57,Jaren Jackson Jr.,UTH,"PF,C",OUT,,70,31.0,20.1,1.7,5.1,2.0,1.2,1.2,0.465,0.794,2.1
58,Darius Garland,LAC,PG,,,73,32.9,19.9,2.6,2.8,6.6,1.2,0.2,0.461,0.87,2.9
59,Mark Williams,PHO,C,OUT,,51,23.2,12.1,0.0,8.2,1.5,0.8,1.0,0.64,0.783,1.1
60,Fred VanVleet,HOU,"PG,SG",,,73,32.4,13.1,2.4,3.4,5.4,1.3,0.5,0.398,0.839,1.4
61,John Collins,DET,"PF,C",,,73,29.5,16.1,1.3,7.2,1.4,0.9,1.0,0.54,0.803,1.7
62,Jaden McDaniels,MIN,"PF,SF",,,76,31.6,13.9,1.3,4.9,2.5,1.2,1.0,0.499,0.83,1.6
63,Immanuel Quickley,TOR,"PG,SG",,,71,31.0,16.6,2.5,3.9,5.7,1.1,0.1,0.439,0.839,1.5
64,Josh Hart,NYK,"SF,SG",,,73,32.6,12.1,1.4,8.3,5.0,1.3,0.3,0.506,0.741,2.0
65,Kon Knueppel,CHA,"SF,SG",,,78,32.9,18.7,3.5,5.3,3.4,0.7,0.2,0.468,0.862,2.0
66,VJ Edgecombe,PHI,"PG,SG",,,75,34.5,15.0,1.8,5.6,3.9,1.3,0.5,0.444,0.814,1.7
67,Ty Jerome,MEM,"PG,SG",,,71,25.0,17.0,2.2,2.9,4.9,1.2,0.2,0.479,0.872,1.9
68,Andrew Wiggins,MIA,"PF,SF,SG",,,72,30.5,15.9,2.0,4.6,2.7,1.1,1.0,0.471,0.77,1.5
69,Dyson Daniels,ATL,"PG,SF,SG",,,76,33.0,11.7,0.5,6.1,5.2,2.1,0.5,0.507,0.607,1.7
70,Keegan Murray,SAC,"SF,PF",,,74,34.4,13.1,1.9,5.9,1.5,0.9,1.1,0.447,0.814,0.9
71,Ivica Zubac,IND,C,OUT,,73,30.8,15.3,0.0,10.8,2.4,0.5,1.1,0.622,0.682,1.4
72,Pascal Siakam,IND,"C,PF,SF",,,76,33.7,21.9,1.5,6.8,3.8,0.9,0.5,0.512,0.715,1.7
73,AJ Dybantsa,WAS,SF,,,75,32.4,19.8,1.7,6.1,3.1,1.1,0.7,0.464,0.79,2.1
74,Donovan Clingan,POR,C,,,75,25.2,10.2,0.8,10.3,1.8,0.6,1.7,0.521,0.662,1.1
75,Deni Avdija,POR,"PF,SF,SG",,,75,33.7,22.5,1.9,7.3,5.8,0.9,0.6,0.469,0.794,3.6
76,Jalen Suggs,ORL,"PG,SG",,,70,27.4,13.4,2.0,3.7,4.3,1.5,0.7,0.43,0.851,2.4
77,Payton Pritchard,BOS,"PG,SG",,,75,30.7,16.5,2.9,3.8,4.5,0.7,0.1,0.463,0.878,1.3
78,Brandon Ingram,LAC,"SG,SF,PF",,,72,34.5,21.7,1.9,5.7,4.1,0.8,0.7,0.48,0.818,2.6
79,Miles Bridges,PHO,"SF,PF",,,74,30.8,17.6,1.9,6.2,3.2,0.8,0.5,0.461,0.844,1.6
80,De'Aaron Fox,SAS,"PG,SG",,,74,31.4,19.1,1.8,3.9,5.6,1.3,0.3,0.471,0.781,2.3
81,Dejounte Murray,NOR,"PG,SG",,,73,30.4,17.0,1.6,5.4,5.9,1.4,0.3,0.439,0.821,2.8
82,Nickeil Alexander-Walker,ATL,"PG,SG",,,78,30.4,16.2,2.6,3.1,3.3,1.0,0.5,0.449,0.878,1.7
83,Jaylen Brown,PHI,"PF,SF,SG",,,74,33.6,25.0,1.6,6.0,4.3,1.2,0.4,0.48,0.774,3.1
84,Cameron Boozer,MEM,PF,,,75,32.2,17.8,0.8,8.2,3.0,1.0,0.9,0.507,0.755,2.3
85,Matas Buzelis,CHI,"SF,PF",,,76,30.6,15.5,2.1,5.4,1.9,0.7,1.5,0.461,0.789,1.9
86,Tobias Harris,SAS,"PF,SF",,,74,30.5,14.0,1.3,5.7,2.4,0.9,0.6,0.474,0.865,1.0
87,Naz Reid,CHA,"PF,C",,,77,28.3,14.5,2.5,6.4,2.3,0.9,0.9,0.449,0.745,1.6
88,Ayo Dosunmu,MIN,"PG,SF,SG",,,75,28.9,14.6,1.7,3.6,3.9,1.0,0.3,0.512,0.858,1.5
89,Paolo Banchero,ORL,"PF,SF",,,73,35.0,23.9,1.5,8.0,5.2,0.8,0.6,0.458,0.751,3.1
90,Norman Powell,CHI,"SG,SF",,,73,32.7,21.9,2.8,3.3,2.4,1.1,0.2,0.472,0.822,2.0
91,Cameron Johnson,DEN,"PF,SF",,,73,30.2,14.0,2.1,4.0,2.6,0.8,0.5,0.486,0.86,1.1
