# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
195,Davion Mitchell,MIA,PG,,,74,28.0,8.9,1.2,2.5,5.9,1.0,0.2,0.488,0.659,1.5
196,Moses Moody,GSW,"PF,SF,SG",OUT,,36,21.8,9.7,1.9,2.7,1.3,0.8,0.4,0.435,0.783,0.8
197,Paul Reed,DET,"C,PF",,,70,12.2,6.4,0.2,3.9,1.0,0.8,0.8,0.597,0.681,0.8
198,Luguentz Dort,ATL,"SG,SF",,,75,27.7,8.9,2.0,3.6,1.4,0.9,0.4,0.409,0.749,0.8
199,Kris Dunn,LAC,"PG,SG",,,76,20.5,5.5,0.8,2.7,2.7,1.3,0.3,0.462,0.745,0.9
200,Deandre Ayton,WAS,C,,,71,22.4,10.0,0.0,6.9,0.9,0.5,0.7,0.595,0.671,1.1
201,T.J. McConnell,IND,PG,,,74,16.3,8.4,0.2,2.2,4.3,0.9,0.2,0.533,0.778,1.2
202,Goga Bitadze,ORL,C,,,71,13.0,4.7,0.0,4.2,1.2,0.5,0.9,0.635,0.688,0.6
203,Baylor Scheierman,BOS,"SG,SF",,,75,20.5,6.4,1.5,3.8,1.6,0.7,0.1,0.434,0.877,0.7
204,Kyle Filipowski,UTH,"C,PF",,,75,20.0,9.1,0.8,5.6,2.0,0.8,0.4,0.492,0.725,1.3
205,Jeremiah Fears,NOR,"PG,SG",,,77,24.3,12.9,1.1,3.4,3.0,1.0,0.3,0.437,0.79,2.0
206,Bilal Coulibaly,WAS,"SG,SF",,,73,23.0,9.3,0.8,3.6,2.1,1.0,0.7,0.433,0.747,1.3
207,Yves Missi,NOR,C,,,72,23.1,7.1,0.0,6.7,1.3,0.4,1.5,0.548,0.588,0.9
208,Rui Hachimura,LAC,"SF,PF",,,74,25.4,10.5,1.5,3.4,0.9,0.6,0.3,0.514,0.733,0.6
209,Santi Aldama,DAL,"PF,SF",OUT,,72,21.9,9.9,1.3,4.8,2.2,0.6,0.5,0.479,0.671,0.8
210,Jordan Poole,NOR,"PG,SG",,,47,19.2,11.0,1.7,1.7,2.6,0.7,0.3,0.42,0.877,1.5
211,Naji Marshall,DAL,"PF,SF,SG",,,74,22.6,10.6,0.7,3.6,2.5,0.8,0.1,0.506,0.779,1.2
212,Bradley Beal,LAC,"SF,SG",,,45,21.2,10.7,1.2,2.3,2.4,0.7,0.3,0.487,0.804,1.3
213,Shaedon Sharpe,POR,"PG,SF,SG",OUT,,24,23.8,14.8,1.5,3.4,2.0,0.9,0.1,0.455,0.785,1.9
214,Adem Bona,PHI,C,OUT,,73,15.0,4.3,0.0,3.8,0.4,0.4,1.1,0.64,0.697,0.7
215,Isaiah Jackson,LAC,"PF,C",,,72,15.5,6.1,0.0,4.8,0.9,0.6,0.8,0.649,0.639,1.0
216,Keldon Johnson,SAS,"PF,SF",,,77,21.0,11.1,1.1,4.3,1.4,0.5,0.2,0.494,0.774,0.9
217,Scoot Henderson,POR,"PG,SG",,,72,23.5,11.9,1.5,2.5,3.7,0.9,0.3,0.418,0.805,2.3
218,Tristan da Silva,ORL,"SF,PF",,,77,19.1,7.1,1.1,2.9,1.2,0.6,0.3,0.443,0.877,0.7
219,Royce O'Neale,CHA,"SF,PF",,,77,22.3,7.9,2.2,3.8,2.0,0.7,0.3,0.42,0.721,1.0
220,Donte DiVincenzo,MIN,"PG,SF,SG",OUT,,3,19.6,8.0,1.9,2.6,2.5,0.9,0.3,0.4,0.739,1.0
221,Jonathan Kuminga,MIN,"PF,SF",,,72,23.1,13.2,0.9,5.1,2.1,0.7,0.4,0.474,0.702,1.7
222,Jaylin Williams,OKC,"PF,C",,,72,17.4,6.0,1.3,4.8,2.1,0.5,0.5,0.423,0.776,0.9
223,Brice Sensabaugh,UTH,"PF,SF,SG",,,75,19.8,11.3,1.7,2.5,1.5,0.6,0.1,0.455,0.836,1.3
224,Gradey Dick,LAC,"SG,SF",,,75,20.2,9.0,1.3,2.7,1.0,0.8,0.1,0.419,0.866,0.9
225,Jericho Sims,MIL,"C,PF",,,46,15.0,3.4,0.0,4.0,1.1,0.3,0.3,0.811,0.621,0.8
226,Jaxson Hayes,UTH,C,,,71,15.2,5.4,0.0,3.3,0.7,0.4,0.6,0.704,0.645,0.5
227,Khris Middleton,WAS,"PF,SF,SG",,,65,18.6,8.6,0.9,2.9,2.7,0.6,0.2,0.45,0.864,1.4
228,Dennis Schroder,CHA,"PG,SG",,,75,23.9,10.3,1.4,2.4,4.4,0.6,0.1,0.403,0.833,1.6
229,Mike Conley,BOS,PG,,,66,18.3,5.4,1.2,1.9,2.8,0.7,0.2,0.368,0.901,0.7
230,Jose Alvarado,NYK,PG,,,72,17.6,6.9,1.4,2.2,3.0,0.9,0.1,0.416,0.779,1.0
231,Marvin Bagley III,DEN,"PF,C",,,69,15.4,8.0,0.3,4.7,1.0,0.3,0.5,0.626,0.663,0.8
232,Oso Ighodaro,PHO,"C,PF",,,78,21.7,6.0,0.0,4.9,2.0,0.9,0.7,0.64,0.481,1.1
233,Precious Achiuwa,SAC,"PF,C",,,74,21.1,8.1,0.3,5.6,1.1,0.8,0.7,0.528,0.565,0.8
234,Isaiah Collier,UTH,"PG,SG",,,72,22.9,8.9,0.4,2.3,5.8,1.0,0.2,0.467,0.714,2.1
235,Danny Wolf,BKN,"C,PF",OUT,,74,21.0,8.6,1.1,4.8,2.2,0.5,0.5,0.403,0.771,1.2
236,Aaron Wiggins,ATL,"SG,SF",,,75,17.5,8.3,1.2,2.7,1.3,0.6,0.2,0.464,0.802,0.8
237,Andre Drummond,NYK,C,,,69,16.5,5.7,0.4,7.4,1.0,0.6,0.6,0.506,0.628,0.9
238,Hannes Steinbach,CHA,PF,,,74,20.5,7.4,0.4,4.3,1.2,0.6,0.7,0.481,0.731,1.0
239,Gary Trent Jr.,MIL,"SF,SG",,,72,23.2,9.0,2.0,1.4,1.2,0.7,0.1,0.404,0.804,0.6
240,Jamal Shead,TOR,PG,,,79,21.1,6.5,1.0,1.6,4.8,0.9,0.2,0.387,0.777,1.3
241,Gui Santos,GSW,"SF,PF",,,72,20.4,7.0,1.0,4.3,2.1,0.7,0.2,0.477,0.719,1.2
242,Jaylen Wells,MEM,"SF,SG",OUT,,74,22.5,9.5,1.5,2.6,1.3,0.6,0.1,0.425,0.794,0.8
243,Grant Williams,CHA,"PF,C",,,70,18.1,6.2,1.2,3.2,1.3,0.5,0.4,0.421,0.815,0.8
244,Ronald Holland II,DET,"PF,SF",,,78,16.7,6.7,0.5,3.3,1.0,0.9,0.3,0.441,0.786,1.0
245,Tristan Vukcevic,WAS,"PF,C",,,69,12.2,7.6,0.8,2.7,0.9,0.4,0.6,0.496,0.782,1.1
246,Zach Collins,CHI,C,,,67,13.2,5.8,0.5,3.5,1.3,0.3,0.3,0.525,0.806,0.8
247,Kyle Kuzma,MIL,"SF,PF",,,73,24.4,11.6,1.1,4.1,2.2,0.5,0.3,0.465,0.697,1.6
248,Kyle Anderson,TOR,"PF,SF",,,70,15.2,4.8,0.2,2.7,2.4,0.7,0.5,0.486,0.702,0.7
249,Noah Clowney,BKN,"C,PF",,,73,19.3,8.1,1.3,2.9,1.0,0.5,0.5,0.387,0.808,1.0
250,Thomas Bryant,CLE,C,,,48,9.2,4.6,0.5,2.7,0.5,0.3,0.4,0.504,0.817,0.4
251,Jeremy Sochan,POR,"C,PF",,,47,14.9,6.3,0.4,3.7,1.5,0.5,0.3,0.529,0.718,1.0
252,Ben Sheppard,IND,"SG,SF",,,70,18.3,5.1,1.0,2.4,1.3,0.5,0.1,0.425,0.826,0.4
253,Bub Carrington,WAS,"PG,SG",,,80,23.6,8.0,1.4,2.9,3.5,0.5,0.2,0.415,0.75,1.7
254,Jarace Walker,IND,"PF,SF",,,70,16.7,6.8,1.0,3.2,1.6,0.6,0.3,0.444,0.724,1.1
255,Kevon Looney,LAL,"C,PF",,,72,15.1,4.0,0.0,5.4,1.4,0.5,0.4,0.532,0.606,0.5
256,Clint Capela,HOU,C,,,45,11.3,4.4,0.0,4.6,0.6,0.4,0.6,0.598,0.573,0.5
257,Leonard Miller,CHI,"C,PF,SF",,,45,9.7,5.1,0.5,2.4,0.5,0.2,0.2,0.581,0.757,0.5
258,Patrick Williams,CHI,"PF,SF",,,75,20.5,6.7,1.2,2.7,1.4,0.7,0.4,0.385,0.722,1.0
259,Mouhamed Gueye,ATL,"PF,C",OUT,,74,13.5,3.9,0.4,3.0,0.7,0.7,0.5,0.45,0.669,0.3
260,Nikola Jovic,MIA,"C,PF",,,50,17.2,7.1,1.0,3.0,2.1,0.5,0.3,0.413,0.732,1.2
261,Jarred Vanderbilt,LAL,"C,PF,SF",,,70,17.2,4.1,0.3,4.6,1.1,0.9,0.3,0.472,0.59,0.8
262,Cody Williams,MIN,"PF,SF,SG",,,71,20.9,6.7,0.4,2.5,1.6,0.6,0.4,0.438,0.709,0.9
263,Trayce Jackson-Davis,TOR,"PF,C",,,47,10.8,4.8,0.0,3.4,1.0,0.3,0.5,0.599,0.551,0.5
264,Jonathan Mogbo,SAC,"C,PF",,,47,10.6,2.7,0.0,2.5,1.0,0.4,0.3,0.506,0.699,0.6
265,Steven Adams,HOU,C,OUT,,70,12.9,3.2,0.0,4.7,0.9,0.3,0.4,0.537,0.523,0.7
266,Jonathan Isaac,ORL,"C,PF",,,42,9.9,2.8,0.3,2.5,0.4,0.4,0.5,0.429,0.64,0.3
